id,event_id,ticket_class_id,name,email,status,checked_in,created
att-1121-004,evt-gcc-1121,tc-1121,Ramesh Gurung,ramesh.gurung@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-005,evt-gcc-1121,tc-1121,Joan Pruitt,joan.pruitt@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-006,evt-gcc-1121,tc-1121,Saba Yohannes,saba.yohannes@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-007,evt-gcc-1121,tc-1121,Carl Whitman,carl.whitman@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-008,evt-gcc-1121,tc-1121,Indira Rana,indira.rana@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-009,evt-gcc-1121,tc-1121,Felicia Combs,felicia.combs@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-010,evt-gcc-1121,tc-1121,Yonas Girma,yonas.girma@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-011,evt-gcc-1121,tc-1121,Brenda Sails,brenda.sails@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-012,evt-gcc-1121,tc-1121,Anjali Thapa,anjali.thapa@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-013,evt-gcc-1121,tc-1121,Otis Ferrell,otis.ferrell@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-014,evt-gcc-1121,tc-1121,Mahlet Tesfaye,mahlet.tesfaye@gmail.com,attending,false,2026-10-02T10:00:00Z
